project_id,task_id,task_name,trade,subcontractor,planned_start,planned_end,actual_start,progress_pct,budget_allocated,budget_spent,depends_on_task_id,status
PROJ-003,TASK-043,HVAC Rough-In,HVAC,Climate Control LLC,2024-04-19T08:00:00Z,2024-05-01T17:00:00Z,,0,40000,0,TASK-041,not_started
PROJ-003,TASK-044,HVAC Rough-In,HVAC,Climate Control LLC,2024-04-19T08:00:00Z,2024-05-01T17:00:00Z,,0,40000,0,TASK-042,not_started
PROJ-003,TASK-045,Insulation,Insulation,Insulate Pro,2024-05-02T08:00:00Z,2024-05-08T17:00:00Z,,0,16000,0,TASK-043,not_started
PROJ-003,TASK-046,Insulation,Insulation,Insulate Pro,2024-05-02T08:00:00Z,2024-05-08T17:00:00Z,,0,16000,0,TASK-044,not_started
PROJ-003,TASK-047,Drywall Installation,Drywall,Drywall Experts,2024-05-09T08:00:00Z,2024-05-23T17:00:00Z,,0,44000,0,TASK-045,not_started
PROJ-003,TASK-048,Drywall Installation,Drywall,Drywall Experts,2024-05-09T08:00:00Z,2024-05-23T17:00:00Z,,0,44000,0,TASK-046,not_started
PROJ-003,TASK-049,Painting,Painting,Color Masters,2024-05-24T08:00:00Z,2024-06-04T17:00:00Z,,0,26000,0,TASK-047,not_started
PROJ-003,TASK-050,Painting,Painting,Color Masters,2024-05-24T08:00:00Z,2024-06-04T17:00:00Z,,0,26000,0,TASK-048,not_started
PROJ-003,TASK-051,Flooring Installation,Flooring,Floor Pro,2024-06-05T08:00:00Z,2024-06-14T17:00:00Z,,0,32000,0,TASK-049,not_started
PROJ-003,TASK-052,Flooring Installation,Flooring,Floor Pro,2024-06-05T08:00:00Z,2024-06-14T17:00:00Z,,0,32000,0,TASK-050,not_started
PROJ-003,TASK-053,Final Electrical,Electrical,Spark Electric,2024-05-24T08:00:00Z,2024-05-30T17:00:00Z,,0,20000,0,TASK-047,not_started
PROJ-003,TASK-054,Final Electrical,Electrical,Spark Electric,2024-05-24T08:00:00Z,2024-05-30T17:00:00Z,,0,20000,0,TASK-048,not_started
PROJ-003,TASK-055,Final Plumbing,Plumbing,Flow Plumbing Co,2024-05-24T08:00:00Z,2024-05-30T17:00:00Z,,0,16000,0,TASK-047,not_started
PROJ-003,TASK-056,Final Plumbing,Plumbing,Flow Plumbing Co,2024-05-24T08:00:00Z,2024-05-30T17:00:00Z,,0,16000,0,TASK-048,not_started
PROJ-003,TASK-057,HVAC Final,HVAC,Climate Control LLC,2024-05-31T08:00:00Z,2024-06-06T17:00:00Z,,0,24000,0,TASK-053,not_started
PROJ-003,TASK-058,HVAC Final,HVAC,Climate Control LLC,2024-05-31T08:00:00Z,2024-06-06T17:00:00Z,,0,24000,0,TASK-054,not_started
PROJ-003,TASK-059,Kitchen Installation,General,Kitchen Specialists,2024-06-15T08:00:00Z,2024-06-25T17:00:00Z,,0,42000,0,TASK-051,not_started
PROJ-003,TASK-060,Final Inspection,General,City Inspector,2024-06-26T08:00:00Z,2024-06-30T17:00:00Z,,0,5000,0,TASK-057,not_started

